node_num,FIPS,lat,lon
0,9001,41.1918,-73.1954
1,9003,41.7661,-72.6834
2,9005,41.8349,-73.1282
3,9007,41.5476,-72.6549
4,9009,41.3113,-72.9246
5,9011,41.5495,-72.0882
6,9013,41.8369,-72.4605
7,9015,41.8086,-71.8854
8,23001,44.0915,-70.1681
9,23003,46.6868,-67.9874
10,23005,43.6773,-70.2715
11,23007,44.4916,-70.1923
12,23009,44.5847,-68.4875
13,23011,44.3341,-69.7319
14,23013,44.1274,-69.1369
15,23015,44.1014,-69.3897
16,23017,44.219,-70.5113
17,23019,44.8323,-68.7906
18,23021,45.3488,-69.0555
19,23023,43.9346,-69.8346
20,23025,44.8614,-69.8975
21,23027,44.4279,-69.0325
22,23029,45.134,-67.224
23,23031,43.4673,-70.4511
24,25001,41.6692,-70.2005
25,25003,42.4517,-73.2605
26,25005,41.6697,-70.9428
28,25009,42.4781,-70.9664
29,25011,42.5975,-72.5573
30,25013,42.1155,-72.5395
31,25015,42.3266,-72.6745
32,25017,42.3759,-71.1185
34,25021,42.2506,-71.0187
35,25023,42.0821,-71.0242
36,25025,42.3188,-71.0852
37,25027,42.2705,-71.8079
38,33001,43.5725,-71.4775
39,33003,44.0415,-71.1224
40,33005,42.9494,-72.2998
41,33007,44.4869,-71.2599
42,33009,43.6353,-72.2531
43,33011,42.7491,-71.491
44,33013,43.2305,-71.5595
45,33015,43.058,-70.7826
46,33017,43.1887,-70.8845
47,33019,43.379,-72.3368
48,44003,41.7062,-71.4334
49,44005,41.4801,-71.3203
50,44007,41.823,-71.4187
51,44009,41.4738,-71.5236
52,50001,44.1664,-73.2557
53,50003,43.182,-73.0369
54,50005,44.5351,-72.0017
55,50007,44.4876,-73.2316
56,50009,44.8125,-71.8862
57,50011,44.8119,-73.0849
58,50013,44.6479,-73.3017
59,50015,44.5583,-72.5933
60,50017,44.1538,-72.0615
61,50019,44.9372,-72.209
62,50021,43.6092,-72.9783
63,50023,44.1998,-72.5085
64,50025,43.1344,-72.455
65,50027,43.6804,-72.3168