,from_node,to_node,distance_mile,from_lat,from_lon,to_lat,to_lon,is_existing,maxFlow,capacity,susceptance
0,0,2,44.57247193,41.1918,-73.1954,41.8349,-73.1282,1,10000,528.18,100
1,0,4,16.31207035,41.1918,-73.1954,41.3113,-72.9246,1,10000,11706.83,100
2,1,2,23.39969628,41.7661,-72.6834,41.8349,-73.1282,1,10000,2810.95,100
3,1,3,15.16934517,41.7661,-72.6834,41.5476,-72.6549,1,10000,7923.93,100
4,1,4,33.8110506,41.7661,-72.6834,41.3113,-72.9246,1,10000,4165.73,100
5,1,6,12.48022881,41.7661,-72.6834,41.8369,-72.4605,1,10000,4031.12,100
6,1,29,25.25016773,41.7661,-72.6834,42.1155,-72.5395,1,10000,5236.75,100
7,2,4,37.67918039,41.8349,-73.1282,41.3113,-72.9246,1,10000,1292.13,100
8,2,25,43.15501333,41.8349,-73.1282,42.4517,-73.2605,1,10000,1519.72,100
9,2,29,35.92279802,41.8349,-73.1282,42.1155,-72.5395,1,10000,419.62,100
10,3,4,21.49008921,41.5476,-72.6549,41.3113,-72.9246,1,10000,8653.37,100
11,3,5,29.30555457,41.5476,-72.6549,41.5495,-72.0882,1,10000,5153.07,100
12,5,6,27.62898208,41.5495,-72.0882,41.8369,-72.4605,1,10000,296.84,100
13,5,7,20.73792056,41.5495,-72.0882,41.8086,-71.8854,1,10000,1246.5,100
14,5,49,29.67790351,41.5495,-72.0882,41.4738,-71.5236,1,10000,581.71,100
15,6,7,29.67765835,41.8369,-72.4605,41.8086,-71.8854,1,10000,4258.03,100
16,6,29,19.6736728,41.8369,-72.4605,42.1155,-72.5395,1,10000,1364.93,100
17,7,29,39.73867099,41.8086,-71.8854,42.1155,-72.5395,1,10000,139.49,100
18,7,35,32.16301182,41.8086,-71.8854,42.2705,-71.8079,1,10000,3699.15,100
19,7,48,24.05462272,41.8086,-71.8854,41.823,-71.4187,1,10000,910.9,100
20,8,10,29.07977837,44.0915,-70.1681,43.6773,-70.2715,1,10000,3782.47,100
21,8,11,27.67184161,44.0915,-70.1681,44.4916,-70.1923,1,10000,3215.41,100
22,8,13,27.34405697,44.0915,-70.1681,44.3341,-69.7319,1,10000,2895.31,100
23,8,16,19.15954505,44.0915,-70.1681,44.219,-70.5113,1,10000,909.7,100
24,8,19,19.80390346,44.0915,-70.1681,43.9346,-69.8346,1,10000,1051.65,100
25,9,17,133.8616108,46.6868,-67.9874,44.8323,-68.7906,1,10000,999.13,100
26,9,22,113.3967895,46.6868,-67.9874,45.134,-67.224,1,10000,166.63,100
27,10,16,39.28521213,43.6773,-70.2715,44.219,-70.5113,1,10000,1195.18,100
28,10,19,28.12026184,43.6773,-70.2715,43.9346,-69.8346,1,10000,799.22,100
29,10,23,17.0702408,43.6773,-70.2715,43.4673,-70.4511,1,10000,8521.34,100
30,11,13,25.19569466,44.4916,-70.1923,44.3341,-69.7319,1,10000,863.62,100
31,11,16,24.55986614,44.4916,-70.1923,44.219,-70.5113,1,10000,2515.99,100
32,11,17,72.79927994,44.4916,-70.1923,44.8323,-68.7906,1,10000,473.5,100
33,11,18,81.25036086,44.4916,-70.1923,45.3488,-69.0555,1,10000,155.81,100
34,11,20,29.37221153,44.4916,-70.1923,44.8614,-69.8975,1,10000,470.46,100
35,11,41,52.6258024,44.4916,-70.1923,44.4869,-71.2599,1,10000,292.2,100
36,12,14,45.03112739,44.5847,-68.4875,44.1274,-69.1369,1,10000,160.58,100
37,12,17,22.67702505,44.5847,-68.4875,44.8323,-68.7906,1,10000,3089.66,100
38,12,21,28.95980761,44.5847,-68.4875,44.4279,-69.0325,1,10000,1315.73,100
39,12,22,72.59604725,44.5847,-68.4875,45.134,-67.224,1,10000,148.04,100
40,13,15,23.36048901,44.3341,-69.7319,44.1014,-69.3897,1,10000,343.69,100
41,13,19,28.07039018,44.3341,-69.7319,43.9346,-69.8346,1,10000,1453.77,100
42,13,20,37.33502459,44.3341,-69.7319,44.8614,-69.8975,1,10000,5978.99,100
43,13,21,35.1421624,44.3341,-69.7319,44.4279,-69.0325,1,10000,690.15,100
44,14,15,12.66910108,44.1274,-69.1369,44.1014,-69.3897,1,10000,1306.04,100
45,14,21,21.39653084,44.1274,-69.1369,44.4279,-69.0325,1,10000,2052.83,100
46,15,21,28.65965548,44.1014,-69.3897,44.4279,-69.0325,1,10000,177.89,100
47,16,20,53.70387494,44.219,-70.5113,44.8614,-69.8975,1,10000,484.78,100
48,16,23,52.02722207,44.219,-70.5113,43.4673,-70.4511,1,10000,291.69,100
49,16,37,32.69523518,44.219,-70.5113,44.0415,-71.1224,1,10000,2008.63,100
50,16,39,41.3602899,44.219,-70.5113,44.4869,-71.2599,1,10000,4171.59,100
51,16,40,95.60281181,44.219,-70.5113,43.6353,-72.2531,1,10000,140.33,100
52,16,54,79.18646805,44.219,-70.5113,44.8125,-71.8862,1,10000,151.51,100
53,17,18,37.95630242,44.8323,-68.7906,45.3488,-69.0555,1,10000,1841.77,100
54,17,20,54.26365026,44.8323,-68.7906,44.8614,-69.8975,1,10000,3762.39,100
55,17,21,30.36950293,44.8323,-68.7906,44.4279,-69.0325,1,10000,1212.06,100
56,17,22,79.35137511,44.8323,-68.7906,45.134,-67.224,1,10000,590.7,100
57,18,20,53.10762018,45.3488,-69.0555,44.8614,-69.8975,1,10000,674.92,100
58,20,21,52.01467281,44.8614,-69.8975,44.4279,-69.0325,1,10000,278.55,100
59,23,37,51.92961171,43.4673,-70.4511,44.0415,-71.1224,1,10000,2600.98,100
60,23,43,32.83420949,43.4673,-70.4511,43.058,-70.7826,1,10000,4973.09,100
61,23,44,29.07137388,43.4673,-70.4511,43.1887,-70.8845,1,10000,2376.06,100
62,24,33,51.08752532,41.6692,-70.2005,42.0821,-71.0242,1,10000,3571.77,100
63,25,28,37.19979571,42.4517,-73.2605,42.5975,-72.5573,1,10000,672.64,100
64,25,29,43.56739509,42.4517,-73.2605,42.1155,-72.5395,1,10000,600.96,100
65,25,51,51.71890549,42.4517,-73.2605,43.182,-73.0369,1,10000,627.77,100
66,25,60,81.24050737,42.4517,-73.2605,43.6092,-72.9783,1,10000,175.66,100
67,25,62,62.39646915,42.4517,-73.2605,43.1344,-72.455,1,10000,5366.25,100
68,26,32,40.32779138,41.6697,-70.9428,42.2506,-71.0187,1,10000,1925.79,100
69,26,33,28.80194698,41.6697,-70.9428,42.0821,-71.0242,1,10000,7602.65,100
70,26,35,60.81553125,41.6697,-70.9428,42.2705,-71.8079,1,10000,2377.46,100
71,26,46,25.4405215,41.6697,-70.9428,41.7062,-71.4334,1,10000,788.74,100
72,26,47,23.50329269,41.6697,-70.9428,41.4801,-71.3203,1,10000,5265.22,100
73,26,48,26.72337213,41.6697,-70.9428,41.823,-71.4187,1,10000,2932.63,100
74,27,31,10.49044673,42.4781,-70.9664,42.3759,-71.1185,1,10000,6826.45,100
75,27,34,12.56610217,42.4781,-70.9664,42.3188,-71.0852,1,10000,149.31,100
76,27,43,41.14001561,42.4781,-70.9664,43.058,-70.7826,1,10000,9342.44,100
77,28,29,33.317435,42.5975,-72.5573,42.1155,-72.5395,1,10000,160.64,100
78,28,30,19.64879727,42.5975,-72.5573,42.3266,-72.6745,1,10000,2629.57,100
79,28,35,44.39712183,42.5975,-72.5573,42.2705,-71.8079,1,10000,772.94,100
80,28,38,27.60104016,42.5975,-72.5573,42.9494,-72.2998,1,10000,167.78,100
81,28,51,47.12375139,42.5975,-72.5573,43.182,-73.0369,1,10000,323.85,100
82,28,62,37.45851012,42.5975,-72.5573,43.1344,-72.455,1,10000,4286.03,100
83,29,30,16.13960869,42.1155,-72.5395,42.3266,-72.6745,1,10000,5778.4,100
84,29,35,38.95425019,42.1155,-72.5395,42.2705,-71.8079,1,10000,666.32,100
85,30,35,44.45922008,42.3266,-72.6745,42.2705,-71.8079,1,10000,2989.74,100
86,31,32,10.0480505,42.3759,-71.1185,42.2506,-71.0187,1,10000,5452.02,100
87,31,34,4.296358876,42.3759,-71.1185,42.3188,-71.0852,1,10000,6611.62,100
88,31,35,35.9649847,42.3759,-71.1185,42.2705,-71.8079,1,10000,11997.58,100
89,31,41,32.00577529,42.3759,-71.1185,42.7491,-71.491,1,10000,1322.32,100
90,31,43,50.12139348,42.3759,-71.1185,43.058,-70.7826,1,10000,4076.02,100
91,32,33,11.64635002,42.2506,-71.0187,42.0821,-71.0242,1,10000,1376.31,100
92,32,34,5.810619979,42.2506,-71.0187,42.3188,-71.0852,1,10000,3485.12,100
93,32,35,40.38195789,42.2506,-71.0187,42.2705,-71.8079,1,10000,9362.75,100
94,32,48,35.97723935,42.2506,-71.0187,41.823,-71.4187,1,10000,1350.06,100
95,35,41,36.79917126,42.2705,-71.8079,42.7491,-71.491,1,10000,509.84,100
96,35,48,36.80942216,42.2705,-71.8079,41.823,-71.4187,1,10000,870.25,100
97,36,37,36.92891392,43.5725,-71.4775,44.0415,-71.1224,1,10000,952.99,100
98,36,40,39.0490704,43.5725,-71.4775,43.6353,-72.2531,1,10000,1269.12,100
99,36,42,23.98725996,43.5725,-71.4775,43.2305,-71.5595,1,10000,968.49,100
100,36,44,39.87698615,43.5725,-71.4775,43.1887,-70.8845,1,10000,469.55,100
101,37,39,31.51916959,44.0415,-71.1224,44.4869,-71.2599,1,10000,365.2,100
102,37,40,62.95587728,44.0415,-71.1224,43.6353,-72.2531,1,10000,709,100
103,37,44,60.11614786,44.0415,-71.1224,43.1887,-70.8845,1,10000,508.62,100
104,38,41,43.24688142,42.9494,-72.2998,42.7491,-71.491,1,10000,993.53,100
105,38,42,42.10371972,42.9494,-72.2998,43.2305,-71.5595,1,10000,281.75,100
106,38,45,29.74283709,42.9494,-72.2998,43.379,-72.3368,1,10000,687.56,100
107,38,62,14.99449705,42.9494,-72.2998,43.1344,-72.455,1,10000,4250.62,100
108,39,40,76.77502561,44.4869,-71.2599,43.6353,-72.2531,1,10000,656.36,100
109,39,52,36.70317706,44.4869,-71.2599,44.5351,-72.0017,1,10000,564.34,100
110,39,54,38.13136655,44.4869,-71.2599,44.8125,-71.8862,1,10000,1042.03,100
111,40,42,44.64953532,43.6353,-72.2531,43.2305,-71.5595,1,10000,1002.92,100
112,40,45,18.19970102,43.6353,-72.2531,43.379,-72.3368,1,10000,3055.05,100
113,40,52,63.41364254,43.6353,-72.2531,44.5351,-72.0017,1,10000,6656.13,100
114,40,54,83.34559191,43.6353,-72.2531,44.8125,-71.8862,1,10000,176.85,100
115,40,58,37.07554787,43.6353,-72.2531,44.1538,-72.0615,1,10000,1327.84,100
116,40,63,4.455519687,43.6353,-72.2531,43.6804,-72.3168,1,10000,1106.02,100
117,41,42,33.44326846,42.7491,-71.491,43.2305,-71.5595,1,10000,2537,100
118,41,43,41.72694013,42.7491,-71.491,43.058,-70.7826,1,10000,2582.91,100
119,41,45,60.9705032,42.7491,-71.491,43.379,-72.3368,1,10000,740.83,100
120,42,43,40.94143086,43.2305,-71.5595,43.058,-70.7826,1,10000,2544.25,100
121,42,44,34.11676473,43.2305,-71.5595,43.1887,-70.8845,1,10000,168.27,100
122,42,45,40.4095795,43.2305,-71.5595,43.379,-72.3368,1,10000,711.34,100
123,42,63,49.08392834,43.2305,-71.5595,43.6804,-72.3168,1,10000,163.12,100
124,43,44,10.39089482,43.058,-70.7826,43.1887,-70.8845,1,10000,959.96,100
125,45,51,37.75645816,43.379,-72.3368,43.182,-73.0369,1,10000,406.1,100
126,45,62,17.91741402,43.379,-72.3368,43.1344,-72.455,1,10000,169.24,100
127,45,63,20.85009965,43.379,-72.3368,43.6804,-72.3168,1,10000,4471.1,100
128,46,48,8.106080698,41.7062,-71.4334,41.823,-71.4187,1,10000,1905.62,100
129,46,49,16.72116421,41.7062,-71.4334,41.4738,-71.5236,1,10000,3353.82,100
130,47,49,10.53372482,41.4801,-71.3203,41.4738,-71.5236,1,10000,882.43,100
131,50,53,22.22609119,44.1664,-73.2557,44.4876,-73.2316,1,10000,933.69,100
132,50,58,59.20276521,44.1664,-73.2557,44.1538,-72.0615,1,10000,173.32,100
133,50,60,40.90433188,44.1664,-73.2557,43.6092,-72.9783,1,10000,1217.99,100
134,50,61,37.0962354,44.1664,-73.2557,44.1998,-72.5085,1,10000,690.45,100
135,50,63,57.5424679,44.1664,-73.2557,43.6804,-72.3168,1,10000,171.82,100
136,51,60,29.66475266,43.182,-73.0369,43.6092,-72.9783,1,10000,766.82,100
137,51,62,29.5141345,43.182,-73.0369,43.1344,-72.455,1,10000,869.62,100
138,51,63,49.91589264,43.182,-73.0369,43.6804,-72.3168,1,10000,424.06,100
139,52,54,19.99020484,44.5351,-72.0017,44.8125,-71.8862,1,10000,420.95,100
140,52,55,56.55678993,44.5351,-72.0017,44.8119,-73.0849,1,10000,472.59,100
141,52,57,29.17698981,44.5351,-72.0017,44.5583,-72.5933,1,10000,277.74,100
142,52,58,26.5121046,44.5351,-72.0017,44.1538,-72.0615,1,10000,148.49,100
143,52,59,29.58866252,44.5351,-72.0017,44.9372,-72.209,1,10000,2549.36,100
144,52,61,34.10949041,44.5351,-72.0017,44.1998,-72.5085,1,10000,343.83,100
145,53,55,23.54011557,44.4876,-73.2316,44.8119,-73.0849,1,10000,3194.67,100
146,53,56,11.60143295,44.4876,-73.2316,44.6479,-73.3017,1,10000,307.09,100
147,53,61,40.89330986,44.4876,-73.2316,44.1998,-72.5085,1,10000,3435.31,100
148,54,59,18.00220323,44.8125,-71.8862,44.9372,-72.209,1,10000,406.71,100
149,55,56,15.54597599,44.8119,-73.0849,44.6479,-73.3017,1,10000,400.53,100
150,55,57,29.8382614,44.8119,-73.0849,44.5583,-72.5933,1,10000,479.03,100
151,55,59,43.75442971,44.8119,-73.0849,44.9372,-72.209,1,10000,536.85,100
152,57,59,32.26623733,44.5583,-72.5933,44.9372,-72.209,1,10000,1480.55,100
153,57,61,25.12299739,44.5583,-72.5933,44.1998,-72.5085,1,10000,607.85,100
154,58,61,22.37850896,44.1538,-72.0615,44.1998,-72.5085,1,10000,1531.27,100
155,58,63,35.09228423,44.1538,-72.0615,43.6804,-72.3168,1,10000,1021.09,100
156,60,63,33.43961802,43.6092,-72.9783,43.6804,-72.3168,1,10000,1570.13,100
157,61,63,37.1350477,44.1998,-72.5085,43.6804,-72.3168,1,10000,167.17,100
158,62,63,38.35979977,43.1344,-72.455,43.6804,-72.3168,1,10000,109.37,100